Ensembl Protein ID	HGNC symbol
ENSP00000000233	ARF5
ENSP00000000412	M6PR
ENSP00000000442	ESRRA
ENSP00000001008	FKBP4
ENSP00000001146	CYP26B1
ENSP00000002125	NDUFAF7
ENSP00000002165	FUCA2
ENSP00000002596	HS3ST1
ENSP00000002829	SEMA3F
ENSP00000003084	CFTR
ENSP00000003100	CYP51A1
ENSP00000003302	USP28
ENSP00000003583	STPG1
ENSP00000004103	TMEM176A
ENSP00000004921	CCL18
ENSP00000004982	HSPB6
ENSP00000005082	ZNF195
ENSP00000005178	PDK4
ENSP00000005180	CCL26
ENSP00000005226	USH1C
ENSP00000005257	RALA
ENSP00000005260	BAIAP2L1
ENSP00000005279	SYNRG
ENSP00000005284	CACNG3
ENSP00000005286	TMEM132A
ENSP00000005340	DVL2
ENSP00000005386	RPAP3
ENSP00000005558	IFRD1
ENSP00000005587	SKAP2
ENSP00000005995	PRSS21
ENSP00000006015	HOXA11
ENSP00000006053	CX3CL1
ENSP00000006101	COPZ2
ENSP00000006275	TRAPPC6A
ENSP00000006526	WDR54
ENSP00000006658	SPATA20
ENSP00000006724	CEACAM7
ENSP00000006777	RHBDD2
ENSP00000007264	RPUSD1
ENSP00000007390	TSR3
ENSP00000007414	OSBPL7
ENSP00000007516	NDUFAB1
ENSP00000007660	DLX6
ENSP00000007699	YBX2
ENSP00000007708	PDK2
ENSP00000007722	ITGA3
ENSP00000007735	KRT33A
ENSP00000007969	LRRC23
ENSP00000008391	TFAP2D
ENSP00000008527	CRY1
ENSP00000008938	PGLYRP1
ENSP00000009041	STARD3NL
ENSP00000009105	CAMK1G
ENSP00000009180	CD9
ENSP00000009530	CD74
ENSP00000009589	RPS20
ENSP00000010132	DYRK4
ENSP00000010299	FAM76A
ENSP00000010338	TRAF3IP3
ENSP00000010404	MGST1
ENSP00000011292	CPA1
ENSP00000011473	SYPL1
ENSP00000011619	RANBP9
ENSP00000011653	CD4
ENSP00000011684	PLEKHG6
ENSP00000011691	SS18L2
ENSP00000011898	TSPAN9
ENSP00000012049	QPCTL
ENSP00000012134	HIVEP2
ENSP00000012443	PPP5C
ENSP00000013034	NME1
ENSP00000013070	UBR7
ENSP00000013222	INMT
ENSP00000013807	ERCC1
ENSP00000014914	GPRC5A
ENSP00000014930	HEBP1
ENSP00000014935	DNASE1L1
ENSP00000016171	COX15
ENSP00000016913	MS4A12
ENSP00000016946	RGPD5
ENSP00000017003	XYLT2
ENSP00000019103	SCTR
ENSP00000019317	RALBP1
ENSP00000020673	PSD
ENSP00000020926	SYT13
ENSP00000020945	SNAI2
ENSP00000023064	SLC7A9
ENSP00000023897	GABRA1
ENSP00000023939	RTFDC1
ENSP00000024061	SLC45A4
ENSP00000025008	RB1CC1
ENSP00000025301	AKAP11
ENSP00000026218	PIGQ
ENSP00000027335	CDH17
ENSP00000028008	RNASET2
ENSP00000029410	B4GALT7
ENSP00000031135	BCLAF1
ENSP00000033079	FAM13B
ENSP00000035307	CHPF2
ENSP00000035383	LRRC7
ENSP00000037243	GABARAPL2
ENSP00000037502	MYOC
ENSP00000037869	FAM136A
ENSP00000039007	OTC
ENSP00000039989	TTC17
ENSP00000040584	HOXC8
