From	To
P30443	HGNC:4931
P01892	HGNC:4931
P04439	HGNC:4931
P13746	HGNC:4931
P30447	HGNC:4931
P05534	HGNC:4931
P18462	HGNC:4931
P30450	HGNC:4931
P30512	HGNC:4931
P16188	HGNC:4931
P16189	HGNC:4931
P10314	HGNC:4931
P16190	HGNC:4931
P30453	HGNC:4931
P30455	HGNC:4931
P30456	HGNC:4931
P30457	HGNC:4931
P10316	HGNC:4931
P30459	HGNC:4931
Q09160	HGNC:4931
P30460	HGNC:4932
P30461	HGNC:4932
P30462	HGNC:4932
P30464	HGNC:4932
P30466	HGNC:4932
P03989	HGNC:4932
P30685	HGNC:4932
P18463	HGNC:4932
Q95365	HGNC:4932
P30475	HGNC:4932
Q04826	HGNC:4932
P30479	HGNC:4932
P30480	HGNC:4932
P30481	HGNC:4932
P30483	HGNC:4932
P30484	HGNC:4932
P30485	HGNC:4932
P30486	HGNC:4932
P30487	HGNC:4932
P30488	HGNC:4932
P18464	HGNC:4932
P30490	HGNC:4932
P30491	HGNC:4932
P30492	HGNC:4932
P30493	HGNC:4932
P30495	HGNC:4932
P18465	HGNC:4932
P10319	HGNC:4932
Q29940	HGNC:4932
Q29836	HGNC:4932
Q31612	HGNC:4932
P30498	HGNC:4932
Q31610	HGNC:4932
Q29718	HGNC:4932
P30499	HGNC:4933
P30501	HGNC:4933
P30504	HGNC:4933
Q9TNN7	HGNC:4933
Q29963	HGNC:4933
P10321	HGNC:4933
P30505	HGNC:4933
P30508	HGNC:4933
P30510	HGNC:4933
Q07000	HGNC:4933
Q29960	HGNC:4933
Q95604	HGNC:4933
Q29865	HGNC:4933
P04229	HGNC:4948
P01912	HGNC:4948
P13760	HGNC:4948
P13761	HGNC:4948
Q30134	HGNC:4948
Q9TQE0	HGNC:4948
Q30167	HGNC:4948
P20039	HGNC:4948
Q95IE3	HGNC:4948
Q5Y7A7	HGNC:4948
Q9GIY3	HGNC:4948
Q29974	HGNC:4948
Q6P2N6	HGNC:268
Q9P0M2	HGNC:377
P84996	HGNC:4392
Q9BXH1	HGNC:17868
P06881	HGNC:1437
Q8IU53	HGNC:22933
Q13948	HGNC:2557
Q8N726	HGNC:1787
Q9H943	HGNC:25779
Q6ZTY8	HGNC:24777
P0CG13	HGNC:24353
Q9HC47	HGNC:24346
O15255	HGNC:2569
Q9UII6	HGNC:19681
Q69384	HGNC:13915
Q9HDB8	HGNC:13757
O95278	HGNC:3413
A4D997	HGNC:26922
Q7LDI9	HGNC:13915
Q9HDB9	HGNC:13757
Q6EEV4	HGNC:14862
Q5JWF2	HGNC:4392
P63092	HGNC:4392
Q8N0V5	HGNC:4204
Q8NFS9	HGNC:4204
P0C7T4	HGNC:23037
P86397	HGNC:30327
P01764	HGNC:5545
Q9H496	HGNC:24055
Q9P272	HGNC:26725
P42167	HGNC:11875
Q96E66	HGNC:25033
Q13465	HGNC:3498
O96033	HGNC:7193
Q9NX53	HGNC:26023
Q13765	HGNC:7629
Q5SXJ2	HGNC:31996
Q5RGN0	HGNC:27299
Q9ULB1	HGNC:8008
Q9P2S2	HGNC:8009
Q9Y4C0	HGNC:8010
Q9BXR3	HGNC:13915
Q9WJR5	HGNC:13915
Q9BZG1	HGNC:16519
Q5R372	HGNC:24663
P62861	HGNC:3597
Q5TFQ8	HGNC:15928
A6NEJ1	HGNC:34047
Q8N2E6	HGNC:11996
P30536	HGNC:1158
Q9Y6I0	HGNC:13915
Q9NTW7	HGNC:15940
Q70YC5	HGNC:18194
A0AVG2	HGNC:17961
A0AVL1	HGNC:216
A0FDN6	HGNC:10521
A0FDN7	HGNC:2096
A0JNS5	HGNC:12667
A0JP02	HGNC:30036
A0PJI4	HGNC:21153
A0PJX5	HGNC:33116
A0PK03	HGNC:6812
A0PK19	HGNC:17470
A0RZB6	HGNC:24624
A0SDD8	HGNC:2037
A1A441	HGNC:9314
A1A4T9	HGNC:31930
A1A4Z1	HGNC:21995
A1A528	HGNC:13194
A1A5A8	HGNC:29165
A1A5A9	HGNC:29165
A1A693	HGNC:14959
A1BQX2	HGNC:26401
A1JUI9	HGNC:12735
A1L383	HGNC:6589
A1L3A6	HGNC:17634
A1L456	HGNC:27037
A2A274	HGNC:118
A2A276	HGNC:30628
A2A280	HGNC:9981
A2A281	HGNC:13586
A2A282	HGNC:13586
A2A283	HGNC:11498
A2A296	HGNC:938
A2A299	HGNC:11778
A2A2A0	HGNC:11778
A2A2A1	HGNC:1095
A2A2A2	HGNC:1095
A2A2B2	HGNC:948
A2A2D0	HGNC:6510
A2A2E0	HGNC:15799
A2A2E6	HGNC:26001
A2A2E7	HGNC:28606
A2A2E9	HGNC:29221
A2A2F0	HGNC:29221
A2A2F4	HGNC:14107
A2A2F5	HGNC:14107
A2A2G4	HGNC:23157
A2A2G5	HGNC:4259
A2A2I8	HGNC:6248
A2A2I9	HGNC:6248
A2A2J3	HGNC:16112
A2A2K8	HGNC:1055
A2A2K9	HGNC:1055
A2A2L3	HGNC:15478
A2A2L4	HGNC:15875
A2A2L5	HGNC:15890
A2A2L6	HGNC:15890
A2A2M0	HGNC:16209
A2A2M1	HGNC:15910
A2A2M7	HGNC:16170
A2A2M9	HGNC:11490
A2A2N0	HGNC:2480
A2A2N5	HGNC:15940
A2A2N6	HGNC:15940
A2A2P1	HGNC:15879
A2A2P3	HGNC:26892
A2A2Q6	HGNC:17777
A2A2Q9	HGNC:15886
A2A2R0	HGNC:16108
A2A2R6	HGNC:4392
A2A2R7	HGNC:11744
A2A2S1	HGNC:4392
A2A2S5	HGNC:10448
A2A2U4	HGNC:7856
