From	To
ENSP00000000233	ARF5_HUMAN
ENSP00000000412	MPRD_HUMAN
ENSP00000000442	ERR1_HUMAN
ENSP00000001008	FKBP4_HUMAN
ENSP00000001146	CP26B_HUMAN
ENSP00000002125	NDUF7_HUMAN
ENSP00000002165	FUCO2_HUMAN
ENSP00000002596	HS3S1_HUMAN
ENSP00000002829	SEM3F_HUMAN
ENSP00000003084	CFTR_HUMAN
ENSP00000003100	CP51A_HUMAN
ENSP00000003302	UBP28_HUMAN
ENSP00000003583	STPG1_HUMAN
ENSP00000004103	T176A_HUMAN
ENSP00000004921	CCL18_HUMAN
ENSP00000004982	HSPB6_HUMAN
ENSP00000005082	ZN195_HUMAN
ENSP00000005178	PDK4_HUMAN
ENSP00000005180	CCL26_HUMAN
ENSP00000005226	USH1C_HUMAN
ENSP00000005257	RALA_HUMAN
ENSP00000005260	BI2L1_HUMAN
ENSP00000005279	SYNRG_HUMAN
ENSP00000005284	CCG3_HUMAN
ENSP00000005286	T132A_HUMAN
ENSP00000005340	DVL2_HUMAN
ENSP00000005386	RPAP3_HUMAN
ENSP00000005558	IFRD1_HUMAN
ENSP00000005587	SKAP2_HUMAN
ENSP00000005995	TEST_HUMAN
ENSP00000006015	HXA11_HUMAN
ENSP00000006053	X3CL1_HUMAN
ENSP00000006101	COPZ2_HUMAN
ENSP00000006275	TPC6A_HUMAN
ENSP00000006526	WDR54_HUMAN
ENSP00000006658	SPT20_HUMAN
ENSP00000006724	CEAM7_HUMAN
ENSP00000006777	RHBD2_HUMAN
ENSP00000007264	RUSD1_HUMAN
ENSP00000007390	TSR3_HUMAN
ENSP00000007414	OSBL7_HUMAN
ENSP00000007516	ACPM_HUMAN
ENSP00000007660	DLX6_HUMAN
ENSP00000007699	YBOX2_HUMAN
ENSP00000007708	PDK2_HUMAN
ENSP00000007722	ITA3_HUMAN
ENSP00000007735	KT33A_HUMAN
ENSP00000007969	LRC23_HUMAN
ENSP00000008391	AP2D_HUMAN
ENSP00000008527	CRY1_HUMAN
ENSP00000008938	PGRP1_HUMAN
ENSP00000009041	MENTO_HUMAN
ENSP00000009105	KCC1G_HUMAN
ENSP00000009180	CD9_HUMAN
ENSP00000009530	HG2A_HUMAN
ENSP00000009589	RS20_HUMAN
ENSP00000010132	DYRK4_HUMAN
ENSP00000010299	FA76A_HUMAN
ENSP00000010338	T3JAM_HUMAN
ENSP00000010404	MGST1_HUMAN
ENSP00000011292	CBPA1_HUMAN
ENSP00000011473	SYPL1_HUMAN
ENSP00000011619	RANB9_HUMAN
ENSP00000011653	CD4_HUMAN
ENSP00000011684	PKHG6_HUMAN
ENSP00000011691	S18L2_HUMAN
