Ensembl Protein ID	Ensembl Gene ID	HGNC symbol
ENSP00000000233	ENSG00000004059	ARF5
ENSP00000000412	ENSG00000003056	M6PR
ENSP00000000442	ENSG00000173153	ESRRA
ENSP00000001008	ENSG00000004478	FKBP4
ENSP00000001146	ENSG00000003137	CYP26B1
ENSP00000002125	ENSG00000003509	C2orf56
ENSP00000002165	ENSG00000001036	FUCA2
ENSP00000002596	ENSG00000002587	HS3ST1
ENSP00000002829	ENSG00000001617	SEMA3F
ENSP00000003084	ENSG00000001626	CFTR
ENSP00000003100	ENSG00000001630	CYP51A1
ENSP00000003302	ENSG00000048028	USP28
ENSP00000003583	ENSG00000001460	C1orf201
ENSP00000004103	ENSG00000002933	TMEM176A
ENSP00000004921	ENSG00000006074	CCL18
ENSP00000004982	ENSG00000004776	HSPB6
ENSP00000005082	ENSG00000005801	ZNF195
ENSP00000005178	ENSG00000004799	PDK4
ENSP00000005180	ENSG00000006606	CCL26
ENSP00000005198	ENSG00000006432	MAP3K9
ENSP00000005226	ENSG00000006611	USH1C
ENSP00000005257	ENSG00000006451	RALA
ENSP00000005260	ENSG00000006453	
ENSP00000005279	ENSG00000006114	SYNRG
ENSP00000005284	ENSG00000006116	CACNG3
ENSP00000005286	ENSG00000006118	TMEM132A
ENSP00000005340	ENSG00000004975	DVL2
ENSP00000005386	ENSG00000005175	RPAP3
ENSP00000005558	ENSG00000006652	IFRD1
ENSP00000005587	ENSG00000005020	SKAP2
ENSP00000005905	ENSG00000007202	KIAA0100
ENSP00000005995	ENSG00000007038	PRSS21
ENSP00000006015	ENSG00000005073	HOXA11
ENSP00000006053	ENSG00000006210	CX3CL1
ENSP00000006101	ENSG00000005243	COPZ2
ENSP00000006275	ENSG00000007255	TRAPPC6A
ENSP00000006526	ENSG00000005448	WDR54
ENSP00000006658	ENSG00000006282	SPATA20
ENSP00000006724	ENSG00000007306	CEACAM7
ENSP00000006777	ENSG00000005486	RHBDD2
ENSP00000007264	ENSG00000007376	RPUSD1
ENSP00000007390	ENSG00000007520	C16orf42
ENSP00000007414	ENSG00000006025	OSBPL7
ENSP00000007516	ENSG00000004779	NDUFAB1
ENSP00000007660	ENSG00000006377	DLX6
ENSP00000007699	ENSG00000006047	YBX2
ENSP00000007708	ENSG00000005882	PDK2
ENSP00000007722	ENSG00000005884	ITGA3
ENSP00000007735	ENSG00000006059	KRT33A
ENSP00000007969	ENSG00000010626	LRRC23
ENSP00000008391	ENSG00000008197	TFAP2D
ENSP00000008527	ENSG00000008405	CRY1
ENSP00000008938	ENSG00000008438	PGLYRP1
ENSP00000009041	ENSG00000010270	STARD3NL
ENSP00000009105	ENSG00000008118	CAMK1G
ENSP00000009180	ENSG00000010278	CD9
ENSP00000009530	ENSG00000019582	CD74
ENSP00000009589	ENSG00000008988	RPS20
ENSP00000010132	ENSG00000010219	DYRK4
ENSP00000010299	ENSG00000009780	FAM76A
ENSP00000010338	ENSG00000009790	TRAF3IP3
ENSP00000010404	ENSG00000008394	MGST1
ENSP00000011292	ENSG00000091704	CPA1
ENSP00000011473	ENSG00000008282	SYPL1
ENSP00000011619	ENSG00000010017	RANBP9
ENSP00000011653	ENSG00000010610	CD4
ENSP00000011684	ENSG00000008323	PLEKHG6
ENSP00000011691	ENSG00000008324	SS18L2
ENSP00000011898	ENSG00000011105	TSPAN9
ENSP00000012049	ENSG00000011478	QPCTL
ENSP00000012134	ENSG00000010818	HIVEP2
ENSP00000012443	ENSG00000011485	PPP5C
ENSP00000013034	ENSG00000239672	NME1
ENSP00000013070	ENSG00000012963	UBR7
ENSP00000013222	ENSG00000241644	INMT
ENSP00000013807	ENSG00000012061	ERCC1
ENSP00000014914	ENSG00000013588	GPRC5A
ENSP00000014930	ENSG00000013583	HEBP1
ENSP00000014935	ENSG00000013563	DNASE1L1
ENSP00000016171	ENSG00000014919	COX15
ENSP00000016913	ENSG00000071203	MS4A12
ENSP00000016946	ENSG00000015568	RGPD5
ENSP00000017003	ENSG00000015532	XYLT2
ENSP00000019103	ENSG00000080293	SCTR
ENSP00000019317	ENSG00000017797	RALBP1
ENSP00000020673	ENSG00000059915	PSD
ENSP00000020926	ENSG00000019505	SYT13
ENSP00000020945	ENSG00000019549	SNAI2
ENSP00000023064	ENSG00000021488	SLC7A9
ENSP00000023897	ENSG00000022355	GABRA1
ENSP00000023939	ENSG00000022277	C20orf43
ENSP00000024061	ENSG00000022567	SLC45A4
ENSP00000025008	ENSG00000023287	RB1CC1
ENSP00000025301	ENSG00000023516	AKAP11
ENSP00000026218	ENSG00000007541	PIGQ
ENSP00000027335	ENSG00000079112	CDH17
ENSP00000028008	ENSG00000026297	RNASET2
ENSP00000029410	ENSG00000027847	B4GALT7
ENSP00000031135	ENSG00000029363	BCLAF1
ENSP00000033079	ENSG00000031003	FAM13B
ENSP00000035307	ENSG00000033100	CHPF2
ENSP00000035383	ENSG00000033122	LRRC7
ENSP00000037243	ENSG00000034713	GABARAPL2
ENSP00000037502	ENSG00000034971	MYOC
ENSP00000037869	ENSG00000035141	FAM136A
ENSP00000039007	ENSG00000036473	OTC
ENSP00000039989	ENSG00000052841	TTC17
ENSP00000040584	ENSG00000037965	HOXC8
ENSP00000040663	ENSG00000037757	MRI1
ENSP00000040738	ENSG00000038219	BOD1L
ENSP00000040877	ENSG00000059588	TARBP1
